Dia;LinhaProducao;Hora;OEE;Produto;Paradas;TempoTotalParada
2026-03-14;PET ZEGLA;07:00;08:00;35.96;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;DM1088 - Falha na transferęncia de tampas para aplicaçăo na garrafa | DM1020 - Falha no Transporte de Saída da Enchedora | 999999999 - Parada Nao Informada | DM1025 - Falha no corte do rótulo | 999 - Microparada;0:35:22.863
2026-03-14;PET ZEGLA;08:00;09:00;63.12;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;DO1051 - Falha no Transporte de Entrada do Robô | 999999999 - Parada Nao Informada | 999 - Microparada;0:16:15.718
2026-03-14;PET ZEGLA;09:00;10:00;72.2;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;999999999 - Parada Nao Informada | DM1032 - Falha no acúmulo de garrafas | DQ1011 -                          Pré-Forma com Defeito | 999 - Microparada;0:13:58.584
2026-03-14;PET ZEGLA;10:00;11:00;90.94;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;DQ1011 -                          Pré-Forma com Defeito;0:58:18.330
2026-03-14;PET ZEGLA;11:00;12:00;73.28;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;DO1098 -                                     Setup - Enxague | 999 - Microparada;0:48:36.886
2026-03-14;PET ZEGLA;12:00;13:00;0.0;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;DO1098 -                                     Setup - Enxague;1:00:00.000
2026-03-14;PET ZEGLA;13:00;14:00;0.0;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;DR1084 -                                     Aguardando Formulaçăo | DO1125 -       Setup - Entrada de Suco | DO1098 -                                     Setup - Enxague;1:00:00.000
2026-03-14;PET ZEGLA;14:00;14:20;14.92;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;999999999 - Parada Nao Informada | DO1125 -       Setup - Entrada de Suco | DM1005 - Falha no Enchimento (Volume);0:17:08.441
2026-03-14;PET ZEGLA;14:20;15:00;8.21;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;DM1005 - Falha no Enchimento (Volume) | 999 - Microparada | DO1005 - Falha no Enchimento (Volume);0:36:03.843
2026-03-14;PET ZEGLA;15:00;15:48;37.59;060201209002 - CONC. LIQ. P/ REF. 6X1 UVA;DE1009 - Falha nos inspetores | DM1037 - Falha no envolvimento do filme | DM1005 - Falha no Enchimento (Volume) | 999 - Microparada;0:28:57.208
2026-03-14;CONCENTRADOR CITROTEC;00:00;01:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CO7035 -                           CIP SODA E ÁCIDO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;01:00;02:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CO7035 -                           CIP SODA E ÁCIDO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;02:00;03:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CO7035 -                           CIP SODA E ÁCIDO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;03:00;04:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CO7035 -                           CIP SODA E ÁCIDO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;04:00;05:00;9.82;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CO7035 -                           CIP SODA E ÁCIDO | 999 - Microparada;0:01:41.223
2026-03-14;CONCENTRADOR CITROTEC;05:00;06:00;9.82;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;999 - Microparada;0:00:04.085
2026-03-14;CONCENTRADOR CITROTEC;06:00;07:00;9.82;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;999 - Microparada;0:00:03.932
2026-03-14;CONCENTRADOR CITROTEC;07:00;08:00;9.82;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;999 - Microparada;0:00:04.061
2026-03-14;CONCENTRADOR CITROTEC;08:00;09:00;9.82;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CP7001 -                           SEM DEMANDA DE PRODUÇĂO | 999 - Microparada;0:26:29.451
2026-03-14;CONCENTRADOR CITROTEC;09:00;10:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CP7001 -                           SEM DEMANDA DE PRODUÇĂO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;10:00;11:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CP7001 -                           SEM DEMANDA DE PRODUÇĂO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;11:00;12:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CP7001 -                           SEM DEMANDA DE PRODUÇĂO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;12:00;13:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CP7001 -                           SEM DEMANDA DE PRODUÇĂO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;13:00;14:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CP7001 -                           SEM DEMANDA DE PRODUÇĂO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;14:00;15:00;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CP7001 -                           SEM DEMANDA DE PRODUÇĂO;1:00:00.000
2026-03-14;CONCENTRADOR CITROTEC;15:00;15:48;0.0;031200300003 - SUCO CAJU CONC 35 BRIX C.C MI;CP7001 -                           SEM DEMANDA DE PRODUÇĂO;0:48:57.313
2026-03-14;LINHA-TETRA-200;00:00;01:00;0.0;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DU2013 -         Falta de energia (Conssecionária);1:00:00.000
2026-03-14;LINHA-TETRA-200;01:00;02:00;0.0;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DU2013 -         Falta de energia (Conssecionária);1:00:00.000
2026-03-14;LINHA-TETRA-200;02:00;03:00;55.5;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DM2151 - Falha na formaçăo da caixa | DU2013 -         Falta de energia (Conssecionária);0:32:56.106
2026-03-14;LINHA-TETRA-200;03:00;04:00;14.26;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DM2151 - Falha na formaçăo da caixa;0:51:17.313
2026-03-14;LINHA-TETRA-200;04:00;05:00;35.01;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DM2151 - Falha na formaçăo da caixa;0:38:56.343
2026-03-14;LINHA-TETRA-200;05:00;06:00;69.36;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DO2181 -                           CIP Soda | 999999999 - Parada Nao Informada;0:32:54.230
2026-03-14;LINHA-TETRA-200;06:00;07:00;0.0;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DO2181 -                           CIP Soda;1:00:00.000
2026-03-14;LINHA-TETRA-200;07:00;08:00;0.0;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DO2181 -                           CIP Soda;1:00:00.000
2026-03-14;LINHA-TETRA-200;08:00;09:00;0.0;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DO2181 -                           CIP Soda | DU2009 -                        Esterilizaçăo imprevista por utilidades;1:00:00.000
2026-03-14;LINHA-TETRA-200;09:00;10:00;0.0;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DU2009 -                        Esterilizaçăo imprevista por utilidades;1:00:00.000
2026-03-14;LINHA-TETRA-200;10:00;11:00;99.55;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DU2009 -                        Esterilizaçăo imprevista por utilidades;0:42:19.107
2026-03-14;LINHA-TETRA-200;11:00;12:00;33.88;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DM2185 - Falha na aranha | DM2063 - Falha na aplicaçăo do filme stretch | 999 - Microparada;0:39:00.802
2026-03-14;LINHA-TETRA-200;12:00;13:00;65.07;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DE2151 - Falha na formaçăo da caixa | DM2063 - Falha na aplicaçăo do filme stretch;0:20:33.147
2026-03-14;LINHA-TETRA-200;13:00;14:00;85.92;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DE2159 - Falha na barra de selagem do filme;0:08:01.766
2026-03-14;LINHA-TETRA-200;14:00;14:20;0.0;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DE2159 - Falha na barra de selagem do filme;0:20:00.000
2026-03-14;LINHA-TETRA-200;14:20;15:00;99.07;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DE2159 - Falha na barra de selagem do filme;0:00:00.660
2026-03-14;LINHA-TETRA-200;15:00;15:49;69.32;060100601030 - REFRESCO SABORIZADO LARANJA M DAFRUTA PPB 27X200ML;DO2098 -                        Setup - enxague | 999999999 - Parada Nao Informada | 999 - Microparada;0:07:50.747
2026-03-14;LINHA TETRA 1000 ML;00:00;01:00;0.0;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DU3013 -         Falta de energia (Conssecionária);1:00:00.000
2026-03-14;LINHA TETRA 1000 ML;01:00;02:00;0.48;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DU3013 -         Falta de energia (Conssecionária) | DM3181 - Falha na dobradora final;0:59:41.989
2026-03-14;LINHA TETRA 1000 ML;02:00;03:00;5.29;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3181 - Falha na dobradora final | DM3137 - Falha no acúmulo de caixas | DM3193 - Falha de posicionamento da tampa | 999999999 - Parada Nao Informada | 999 - Microparada;0:55:50.400
2026-03-14;LINHA TETRA 1000 ML;03:00;04:00;9.67;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3183 - Falha no sistema de mandíbulas | DM3181 - Falha na dobradora final | DM3193 - Falha de posicionamento da tampa;0:53:41.890
2026-03-14;LINHA TETRA 1000 ML;04:00;05:00;0.84;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3183 - Falha no sistema de mandíbulas;0:59:18.616
2026-03-14;LINHA TETRA 1000 ML;05:00;06:00;4.17;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3183 - Falha no sistema de mandíbulas;0:57:15.554
2026-03-14;LINHA TETRA 1000 ML;06:00;07:00;6.86;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3183 - Falha no sistema de mandíbulas;0:55:38.027
2026-03-14;LINHA TETRA 1000 ML;07:00;08:00;6.39;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3183 - Falha no sistema de mandíbulas | 999 - Microparada;0:55:34.810
2026-03-14;LINHA TETRA 1000 ML;08:00;09:00;38.23;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3183 - Falha no sistema de mandíbulas | 999 - Microparada;0:36:33.750
2026-03-14;LINHA TETRA 1000 ML;09:00;10:00;29.3;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3151 - Falha na formaçăo da caixa | DM3183 - Falha no sistema de mandíbulas;0:42:00.964
2026-03-14;LINHA TETRA 1000 ML;10:00;11:00;22.21;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3183 - Falha no sistema de mandíbulas | DM3151 - Falha na formaçăo da caixa;0:46:27.730
2026-03-14;LINHA TETRA 1000 ML;11:00;12:00;0.0;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3183 - Falha no sistema de mandíbulas;1:00:00.000
2026-03-14;LINHA TETRA 1000 ML;12:00;13:00;17.77;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3183 - Falha no sistema de mandíbulas;0:49:05.127
2026-03-14;LINHA TETRA 1000 ML;13:00;14:00;39.55;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;999999999 - Parada Nao Informada | DM3183 - Falha no sistema de mandíbulas;0:35:42.270
2026-03-14;LINHA TETRA 1000 ML;14:00;14:20;99.99;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;;0:00:00.000
2026-03-14;LINHA TETRA 1000 ML;14:20;15:00;89.26;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;999999999 - Parada Nao Informada | DM3152 - Falha na transferencia para a caixa | 999 - Microparada;0:03:54.792
2026-03-14;LINHA TETRA 1000 ML;15:00;15:49;63.55;060100301018 - NECTAR CAJU DAFRUTA REFORMULACAO 12X1000ML;DM3152 - Falha na transferencia para a caixa | DM3193 - Falha de posicionamento da tampa;0:17:37.667
2026-03-14;SIG IV;21:00;22:00;16.94;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM6042 - Falha no esquadrejamento das embalagens | GM6027 - Falha na aplicaçăo de canudos | GM6005 - Falha na Transferęncia para pré-dobra;0:47:58.961
2026-03-14;SIG IV;22:00;23:00;75.1;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM6042 - Falha no esquadrejamento das embalagens | GM6041 - Falha na separaçăo de embalagens;0:13:50.801
2026-03-14;SIG IV;23:00;00:00;68.8;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM6041 - Falha na separaçăo de embalagens | GM6042 - Falha no esquadrejamento das embalagens;0:17:55.450
2026-03-14;SIG IV;00:00;01:00;59.0;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM6042 - Falha no esquadrejamento das embalagens | GM6041 - Falha na separaçăo de embalagens;0:17:53.414
2026-03-14;SIG IV;01:00;02:00;60.34;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM6042 - Falha no esquadrejamento das embalagens | GM6033 - Falha na Aplicaçăo de Cola do aplicador de canudos;0:21:20.954
2026-03-14;SIG IV;02:00;03:00;80.65;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM6027 - Falha na aplicaçăo de canudos | GM6041 - Falha na separaçăo de embalagens | GM6042 - Falha no esquadrejamento das embalagens;0:10:11.686
2026-03-14;SIG IV;03:00;04:00;51.09;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM6042 - Falha no esquadrejamento das embalagens | GM6027 - Falha na aplicaçăo de canudos | GM6005 - Falha na Transferęncia para pré-dobra | GM6041 - Falha na separaçăo de embalagens;0:25:34.391
2026-03-14;SIG IV;04:00;04:01;0.0;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM6027 - Falha na aplicaçăo de canudos;0:01:07.317
2026-03-14;SIG IV;04:01;05:00;70.24;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM6041 - Falha na separaçăo de embalagens | GM6027 - Falha na aplicaçăo de canudos | GM6042 - Falha no esquadrejamento das embalagens;0:16:05.511
2026-03-14;SIG IV;05:00;06:00;43.56;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM6041 - Falha na separaçăo de embalagens | GM6042 - Falha no esquadrejamento das embalagens | GO6064 - Absenteísmo Operaçăo | GM6027 - Falha na aplicaçăo de canudos;0:32:15.979
2026-03-14;SIG IV;06:00;07:00;0.0;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GO6064 - Absenteísmo Operaçăo;1:00:00.000
2026-03-14;SIG IV;07:00;08:00;0.0;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GO6064 - Absenteísmo Operaçăo | GM6027 - Falha na aplicaçăo de canudos;1:00:00.000
2026-03-14;SIG IV;08:00;09:00;37.06;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM6043 - Falha no envolvimento com a caixa | GM6027 - Falha na aplicaçăo de canudos;0:34:49.739
2026-03-14;SIG IV;09:00;10:00;15.33;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM6027 - Falha na aplicaçăo de canudos | GM6043 - Falha no envolvimento com a caixa | GZ6001 -                                    Parada por Horário de Refeiçăo;0:50:58.826
2026-03-14;SIG IV;10:00;11:00;0.0;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GZ6001 -                                    Parada por Horário de Refeiçăo;1:00:00.000
2026-03-14;SIG IV;11:00;12:00;49.79;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GZ6001 -                                    Parada por Horário de Refeiçăo | GM6043 - Falha no envolvimento com a caixa;0:43:37.997
2026-03-14;SIG IV;12:00;13:00;47.67;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM6043 - Falha no envolvimento com a caixa | GM6027 - Falha na aplicaçăo de canudos;0:30:07.590
2026-03-14;SIG IV;13:00;14:00;43.13;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM6043 - Falha no envolvimento com a caixa | GM6027 - Falha na aplicaçăo de canudos | 999 - Microparada;0:32:48.029
2026-03-14;SIG IV;14:00;15:00;15.86;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM6043 - Falha no envolvimento com a caixa | GM6030 - Falha no Corte de Canudos | 999999999 - Parada Nao Informada;0:49:36.960
2026-03-14;SIG IV;15:00;15:49;19.26;060102902034 - MAGUARY FRUIT SHOOT MORANGO HB 27X150ML;GM6030 - Falha no Corte de Canudos | 999999999 - Parada Nao Informada;0:38:07.620
2026-03-14;LINHA SIG 1000 ML;00:00;01:00;0.0;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DU4010 -         Falta de energia (Conssecionária);1:00:00.000
2026-03-14;LINHA SIG 1000 ML;01:00;02:00;0.11;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;999999999 - Parada Nao Informada | DU4010 -         Falta de energia (Conssecionária) | 999 - Microparada;0:59:01.287
2026-03-14;LINHA SIG 1000 ML;02:00;03:00;0.16;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;999999999 - Parada Nao Informada | DU4010 -         Falta de energia (Conssecionária) | 999 - Microparada;0:59:10.803
2026-03-14;LINHA SIG 1000 ML;03:00;04:00;0.29;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DU4010 -         Falta de energia (Conssecionária) | 999999999 - Parada Nao Informada | 999 - Microparada;0:59:48.784
2026-03-14;LINHA SIG 1000 ML;04:00;05:00;0.07;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DU4010 -         Falta de energia (Conssecionária) | 999999999 - Parada Nao Informada;0:59:48.784
2026-03-14;LINHA SIG 1000 ML;05:00;06:00;0.0;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DU4004 -                                    Falta de Vapor | DU4010 -         Falta de energia (Conssecionária);1:00:00.000
2026-03-14;LINHA SIG 1000 ML;06:00;07:00;59.55;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DU4004 -                                    Falta de Vapor | DU4003 -                                    Falta de Ar Comprimido | 999 - Microparada;0:52:02.544
2026-03-14;LINHA SIG 1000 ML;07:00;08:00;74.65;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DU4003 -                                    Falta de Ar Comprimido | DU4004 -                                    Falta de Vapor;0:39:25.009
2026-03-14;LINHA SIG 1000 ML;08:00;09:00;33.43;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DE4056 - Falha na Captura | DU4004 -                                    Falta de Vapor | 999999999 - Parada Nao Informada | DE4021 - Falha no Cabeçote de Entrada Aumulador;0:41:08.404
2026-03-14;LINHA SIG 1000 ML;09:00;10:00;43.98;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DE4056 - Falha na Captura | DE4021 - Falha no Cabeçote de Entrada Aumulador | 999999999 - Parada Nao Informada | 999 - Microparada;0:32:26.881
2026-03-14;LINHA SIG 1000 ML;10:00;11:00;11.56;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DM4056 - Falha na Captura | 999999999 - Parada Nao Informada | DE4056 - Falha na Captura | 999 - Microparada;0:52:33.472
2026-03-14;LINHA SIG 1000 ML;11:00;12:00;42.77;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DO4094 -                                     CIP Soda | 999999999 - Parada Nao Informada | DM4056 - Falha na Captura | DM4028 - Falha na aplicaçăo de tampas | DO4007 - Falha na Pulverizaçăo de Peróxido | 999 - Microparada;0:36:41.803
2026-03-14;LINHA SIG 1000 ML;12:00;13:00;0.0;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DO4094 -                                     CIP Soda;1:00:00.000
2026-03-14;LINHA SIG 1000 ML;13:00;14:00;68.82;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DO4094 -                                     CIP Soda | DO4115 -       Setup - Entrada de Suco | 999 - Microparada;0:43:07.300
2026-03-14;LINHA SIG 1000 ML;14:00;14:20;51.35;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DM4028 - Falha na aplicaçăo de tampas | 999999999 - Parada Nao Informada;0:06:04.870
2026-03-14;LINHA SIG 1000 ML;14:20;15:00;56.39;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DM4006 - Falha na Pré Dobra | DM4002 - Falha no Feeder (Alimentaçăo Roda Mandril) | 999 - Microparada;0:08:27.501
2026-03-14;LINHA SIG 1000 ML;15:00;15:49;58.49;060101201029 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 12X1000ML;DM4056 - Falha na Captura | 999 - Microparada | DM4002 - Falha no Feeder (Alimentaçăo Roda Mandril);0:09:03.962
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;00:00;01:00;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DU5008 -                                    CIP imprevisto por utilidades;1:00:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;01:00;02:00;52.6;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DE5074 -                                      Falha na pasteurizaçăo | DU5008 -                                    CIP imprevisto por utilidades | DM5027 - Falha na aplicaçăo de canudos | 999 - Microparada;0:47:43.854
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;02:00;03:00;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DE5074 -                                      Falha na pasteurizaçăo | DO5115 -       Setup - Entrada de suco;1:00:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;03:00;04:00;78.65;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5115 -       Setup - Entrada de suco | 999 - Microparada;0:23:51.893
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;04:00;05:00;44.6;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5016 - Falha na Codificaçăo Primária | DM5042 - Falha no esquadrejamento das embalagens | 999999999 - Parada Nao Informada | DM5027 - Falha na aplicaçăo de canudos | 999 - Microparada;0:26:11.436
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;05:00;06:00;67.98;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;999999999 - Parada Nao Informada | DM5027 - Falha na aplicaçăo de canudos | 999 - Microparada | DM5022 - Falha no Cabeçote de Saída Acumulador;0:08:30.333
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;06:00;07:00;62.16;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DM5043 - Falha no envolvimento com a caixa | DM5027 - Falha na aplicaçăo de canudos;0:13:15.427
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;07:00;08:00;52.48;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5095 -                                     CIP Soda e Ácido | DM5043 - Falha no envolvimento com a caixa | 999 - Microparada;0:22:46.110
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;08:00;09:00;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5095 -                                     CIP Soda e Ácido;1:00:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;09:00;10:00;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5095 -                                     CIP Soda e Ácido;1:00:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;10:00;11:00;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5095 -                                     CIP Soda e Ácido;1:00:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;11:00;12:00;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5095 -                                     CIP Soda e Ácido;1:00:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;12:00;13:00;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5095 -                                     CIP Soda e Ácido;1:00:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;13:00;14:00;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5095 -                                     CIP Soda e Ácido | DO5107 -                                     Setup - Esterilizaçăo;1:00:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;14:00;14:20;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5107 -                                     Setup - Esterilizaçăo;0:20:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;14:20;15:00;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DO5107 -                                     Setup - Esterilizaçăo | DM5074 -                                      Falha na pasteurizaçăo;0:40:00.000
2026-03-14;LINHA DE ENVASE PPB SIG 200ML;15:00;15:49;0.0;061403402014 - AGUA DE COCO PURO COCO MAGUARY 27X180ML;DM5074 -                                      Falha na pasteurizaçăo;0:49:04.360
2026-03-14;SIG I;21:00;22:00;0.76;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM1014 - Falha na Solda de Topo (Ultrassom) | GQ1009 -                                   Setup - Análise | GM1004 - Falha na Selagem de Fundo | GR1181 -                                   Setup - Entrada de Suco;0:58:39.340
2026-03-14;SIG I;22:00;22:55;16.27;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM1047 - Falha na aplicaçăo de cola da traypacker | GO1098 -                                    Setup - Enxague | GR1181 -                                   Setup - Entrada de Suco | GM1056 - Falha na Captura | GM1014 - Falha na Solda de Topo (Ultrassom);0:50:11.162
2026-03-14;SIG I;22:55;23:00;0.0;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GR1181 -                                   Setup - Entrada de Suco;0:04:14.177
2026-03-14;SIG I;23:00;00:00;17.79;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1041 - Falha na separaçăo de embalagens | GR1181 -                                   Setup - Entrada de Suco | GM1028 - Falha na aplicaçăo de tampas;0:53:10.023
